customer_id,first_name,last_name,email,phone_number,city,state,country,signup_date
1,Cody,Singleton,susan77@gmail.com,(349)320-9928x1857,Michaelshire,Tennessee,Antarctica (the territory South of 60 deg S),2023-11-28
2,Rachel,Peterson,brian40@miller-graham.com,038.039.5478x5540,South Sarahstad,Arizona,Christmas Island,2023-08-23
3,Paula,Morrison,bhodges@perez.net,(624)699-2506,South Isaac,New Jersey,United Arab Emirates,2025-01-24
4,Destiny,Wilcox,haydengarrison@hotmail.com,951-229-1689,Rivasmouth,Ohio,Uganda,2024-03-13
5,Ashley,Smith,thomashartman@smith.com,914.623.0763,Lake Ericamouth,Minnesota,Kenya,2024-11-30
6,Claudia,Patton,wlowe@stafford-cruz.com,(529)021-3588,East Darrenton,South Dakota,Benin,2024-08-08
7,John,Johnson,jessicastewart@cruz.com,5782440754,Donaldport,Arkansas,Saint Kitts and Nevis,2025-04-06
8,Stephanie,Newman,lcardenas@yahoo.com,+1-987-369-8027x671,Adamsberg,Vermont,Holy See (Vatican City State),2025-03-24
9,Shawn,Hayes,sherry07@rivera.org,001-064-566-4202x4021,West Justinstad,Indiana,Chad,2023-08-28
10,Michael,Archer,fbrady@evans.com,174-251-7984x7081,West Rebeccaton,Kansas,Saint Pierre and Miquelon,2025-04-25
11,Jerry,Mahoney,pbrown@gmail.com,891-238-8500x3430,West Julie,West Virginia,Malta,2023-11-11
12,Greg,Romero,rodriguezkevin@gmail.com,195-136-5614,Huertatown,Georgia,Lithuania,2024-12-06
13,Vanessa,Roberts,kaufmanwhitney@chan-mcconnell.org,107-742-8156,South William,Arkansas,Moldova,2023-07-09
14,Samantha,Steele,timothy06@bradley.com,+1-026-424-0195x4693,Debbieborough,Ohio,Nepal,2024-05-13
15,Justin,Adams,qwilliamson@massey.biz,170-166-3950,Bernardmouth,Washington,Angola,2024-11-04
16,Paul,Harper,mcfarlandtyler@gallagher-phelps.com,053-528-7002x61210,Lopezhaven,Indiana,Malaysia,2023-08-20
17,Melanie,Johnston,brandibennett@johnson.org,648-665-5079,Solishaven,Oregon,Grenada,2024-02-29
18,Christopher,Jones,jhernandez@gmail.com,+1-521-738-7317,Port Steven,Idaho,Moldova,2023-12-27
19,Carol,Johnson,ywilliams@green-watkins.org,(782)933-6458x1219,Port Michelleville,Montana,Denmark,2023-08-14
20,Patrick,Scott,jcontreras@yahoo.com,001-954-636-5456x86957,Blevinsburgh,Missouri,Cayman Islands,2024-03-25
21,Rebekah,Braun,jamesgarcia@hotmail.com,001-540-906-4946x5500,Lake Rebecca,Maryland,Aruba,2025-01-12
22,Sarah,Johnson,tracy93@hotmail.com,(766)347-0689x1429,Boyershire,Florida,Djibouti,2024-07-05
23,Steven,Obrien,lhodge@jordan.com,+1-666-906-1141x61216,Kevinborough,Georgia,Vanuatu,2024-05-30
24,Michael,Tucker,shannon88@fowler.com,756.594.2331x42329,Coxtown,Iowa,Lesotho,2024-06-10
25,Kayla,Jones,jameslyons@hotmail.com,(542)356-9076x4907,Brewerberg,Vermont,Belize,2024-05-30
26,Brenda,Bell,kennethlambert@hotmail.com,001-189-525-3306x33355,New Aaronshire,New Hampshire,Djibouti,2025-01-07
27,Sarah,Jackson,millerashley@hotmail.com,703.681.4695,Hayesshire,Colorado,South Africa,2025-04-27
28,William,Smith,mendozamatthew@rasmussen.com,286.524.0431,New Stephen,Alaska,Burundi,2024-05-10
29,Daniel,Brown,rebecca49@yahoo.com,001-439-053-2956x19356,Gibbsfort,Delaware,Gabon,2023-11-23
30,Stephen,Johnson,ingramjennifer@ellis.com,+1-232-911-8623x92393,East Albert,Hawaii,United Kingdom,2025-01-20
31,David,Blackburn,jeffreywatkins@fernandez.com,001-145-655-5378x5509,Jamesside,Georgia,Monaco,2023-12-07
32,Cynthia,Bowman,chavezisaac@yahoo.com,557.224.5213x2140,Port Frances,Arkansas,Bangladesh,2024-02-16
33,Mark,Jones,gallegossarah@thompson.biz,917-589-3304x796,Kathleenview,Idaho,Bangladesh,2023-10-05
34,Stephen,Martin,htaylor@anderson.com,(250)010-0906x055,Mckaystad,Massachusetts,French Polynesia,2023-07-21
35,Justin,Humphrey,romanjeremy@smith.com,711.381.6730,Jonesbury,Utah,Montserrat,2025-03-20
36,Jennifer,Reed,alex84@hotmail.com,001-539-212-6622x086,South Janice,South Dakota,Angola,2025-02-08
37,Sara,Wells,laurenibarra@ramirez.org,+1-127-510-9281x753,Lisatown,Alaska,Panama,2024-12-31
38,Scott,Chavez,mary86@vasquez-mcfarland.net,001-259-021-9262,Lake Rachelfurt,North Carolina,Uruguay,2024-09-14
39,Arthur,Davis,laura57@hotmail.com,(060)814-4607x4485,Port Rick,Minnesota,French Polynesia,2024-06-18
40,Kim,Williams,melanie29@solis-moon.net,001-259-508-1244,Smithfurt,New Mexico,United Arab Emirates,2024-05-29
41,William,Garcia,brownjennifer@hotmail.com,376.840.8650x1821,Dannyfort,South Dakota,Netherlands Antilles,2024-12-14
42,Samantha,Barker,joshua86@morris.org,+1-923-280-8284x43481,Nicoleland,Alabama,Tajikistan,2023-11-01
43,Kimberly,Poole,sophia56@fox.com,+1-598-483-7088,North Cynthia,Maine,Denmark,2024-05-06
44,Michael,Reilly,jamesstark@moore-wright.com,001-084-590-0662x279,North Nathan,Arizona,Timor-Leste,2024-12-28
45,Phillip,Melendez,jeremy95@phillips-martin.com,265-242-5035x510,Lake Robinmouth,Mississippi,Sweden,2023-11-03
46,Jeremy,Williams,simonamanda@santana.info,7681147688,North Matthew,Georgia,Belize,2025-03-16
47,Dennis,Carney,sanchezjohnny@sanchez.com,7248600879,Meganview,North Carolina,Tajikistan,2024-01-05
48,Don,Conner,shull@james-robinson.com,817-186-4508,Erictown,Illinois,Finland,2024-07-27
49,Christine,Velez,johnbrown@reeves-conner.com,6712467923,Lake Elizabeth,Arizona,Rwanda,2025-03-16
50,Timothy,Brown,stephanie30@gmail.com,6178146575,Fletcherfurt,South Carolina,Falkland Islands (Malvinas),2024-10-02
51,Andrew,Meadows,jeffreycrawford@mcpherson.com,+1-294-135-6639x0827,Christinafurt,Arizona,Tunisia,2023-09-01
52,Brenda,Butler,caldwellpaul@potter-kirby.com,+1-098-483-9240,Tranton,Kansas,Hungary,2025-03-22
53,Ashley,Smith,hkim@yahoo.com,(191)728-9490,East Tammy,Wisconsin,Argentina,2025-04-19
54,Janet,Baxter,cristian17@patterson.com,409-684-0093,Lambertmouth,New York,British Virgin Islands,2023-11-30
55,Diane,Thomas,uhawkins@gmail.com,+1-931-356-1208x210,West Jessica,New Hampshire,Libyan Arab Jamahiriya,2024-02-04
56,Donald,Palmer,nealmatthew@potter.com,001-476-953-4018x854,Markberg,Nebraska,Puerto Rico,2023-10-20
57,Ashley,Hodges,amanda28@hunt.com,600.423.5475x680,East Veronicafort,Mississippi,Swaziland,2025-02-16
58,Brenda,Mcknight,jamesfoster@gmail.com,001-282-189-1846x7125,North Davidport,Virginia,Montserrat,2023-09-12
59,Jeremy,Smith,onorton@lee.com,001-606-412-8986x235,Contrerasstad,Arkansas,Western Sahara,2025-02-06
